"","PRJNA291292:ampicillin:PA14","PRJNA291292:silver_nitrate:PA14","PRJNA291292:aztreonam:PA14","PRJNA291292:bleach:PA14","PRJNA291292:benzalkonium_chloride:PA14","PRJNA291292:carbenicillin:PA14","PRJNA291292:cefoperazone:PA14","PRJNA291292:ciprofloxacin:PA14","PRJNA291292:gentamicin:PA14","PRJNA291292:neomycin:PA14","PRJNA291292:polymyxin_B:PA14","PRJNA291292:povidone-iodine:PA14","PRJNA291292:tobramycin:PA14","PRJNA291292:water:PA14","PRJNA291292:H2O2:PA14"
"PA14_54150",1.1359,-0.9506,1.4769,-2.708,-1.0062,-0.9043,0.7756,-0.3904,-4.177,-2.6266,-2.3997,-3.1054,-0.7346,0,1.3135
"PA14_54170",-0.0468,-0.098,-0.1644,-1.2384,-0.4312,-0.329,-0.0359,-0.4494,-2.0842,-0.779,-0.654,-1.2552,0.0644,0,0.3055
"PA14_54180",-25.0611,-38.0387,2.2016,-14.193,-3.452,-17.0786,2.0394,-38.0387,-8.5902,-14.5842,-5.4023,-8.7588,-10.3369,0,-11.2309
"PA14_54190",-0.9282,3.8425,2.641,-1.8277,0.2866,-2.7735,2.2218,-3.1331,-3.2677,7.838,3.3262,-0.2722,2.1914,0,3.6211
"PA14_54210",0.2384,-0.7084,-0.1848,0.7208,-0.9441,-0.6155,-0.634,-0.5742,2.7062,2.3148,-0.5686,0.3755,1.0416,0,0.0802
"PA14_54220",-2.5253,-0.6822,-0.9512,-0.6244,0.4328,-2.1936,-1.0186,-3.593,2.3906,3.0687,-2.032,-2.414,1.7073,0,-1.2811
"PA14_54230",-4.1084,1.5507,-0.4195,0.5144,-5.4444,-6.8901,-2.0767,-1.4579,2.3515,3.0236,-0.5086,-0.8792,0.8966,0,-1.1008
"PA14_54240",-0.9936,1.7369,-4.5475,4.3063,3.1516,1.9645,-4.7857,-0.5958,8.9083,2.0968,-5.5593,1.5841,-2.5853,0,-1.8344
"PA14_54260",-3.2812,-2.9626,3.7502,-4.9833,1.3504,-0.9672,2.7336,2.3046,-6.8251,-3.234,-2.3031,-6.2863,-2.103,0,-1.5718
"PA14_54270",-1.3199,1.8358,0.694,-3.0276,1.4945,0.3679,2.0838,-2.529,-6.0934,0.3718,1.1692,0.1811,-1.6756,0,0.1868
"PA14_54290",-0.5301,-1.0022,0.6422,-0.77,0.4243,-0.759,0.27,0.9966,-1.3325,1.2932,-0.896,-1.119,0.4816,0,-0.6837
"PA14_54300",0.6824,1.3788,1.0097,1.2363,0.3859,1.4488,0.8594,2.2471,-0.5474,1.8279,0.4103,-0.0154,2.2069,0,-0.5184
"PA14_54320",-1.8184,-9.5984,4.5026,-3.338,3.2403,7.3822,-3.8074,-2.5396,-12.4615,-7.2226,-10.2151,-2.2589,3.6491,0,-8.27
"PA14_54330",0.7771,-0.1586,0.8452,0.4489,0.0079,0.8885,0.519,0.2046,0.1327,0.2098,0.0727,0.2005,0.734,0,0.735
"PA14_54340",-2.1972,-22.0516,2.888,4.9262,-1.519,3.2719,-10.1046,-7.1909,-6.7833,-10.0863,-15.4676,-1.0766,-5.9334,0,-7.8892
"PA14_54350",0.109,-1.5166,1.0341,-0.4666,0.6913,0.6048,-1.8508,-0.0787,-1.4237,-0.9908,-1.8711,-0.586,-0.2358,0,0.0296
"PA14_54370",2.248,-6.5564,0.689,-1.0348,0.8907,0.4538,-2.6436,1.0463,-3.4744,-2.1431,-6.2628,-2.35,-1.7874,0,-3.3824
"PA14_54390",-0.0822,0.4913,0.1869,0.2936,0.0315,0.0541,-0.7964,-0.5624,0.4799,-0.3764,0.9258,0.2826,0.318,0,0.048
"PA14_54400",-0.2489,1.2656,-0.2231,-0.843,-0.4955,-0.1714,0.6718,-0.3796,0.1513,-0.0085,1.302,-0.6308,1.3436,0,-0.2422
"PA14_54410",1.0836,0.4434,-0.0074,-1.0359,-0.7713,-0.5908,-0.9314,0.1642,2.4512,0.3988,1.174,0.2412,0.873,0,-0.8566
"PA14_54420",2.301,0.9241,-0.3234,0.1236,0.5052,0.8225,-0.2354,0.2307,5.0535,2.4905,3.8966,0.3644,0.5859,0,0.7169
"PA14_54430",2.2847,1.6568,-0.3013,-0.1233,0.742,0.5562,0.1313,-0.294,3.2741,1.403,2.2096,0.1568,-0.2343,0,0.1977
"PA14_54450",-0.2059,1.114,1.1456,-0.0806,-0.4653,0.0516,1.1776,0.4673,-0.2997,1.6214,0.8827,-0.0976,1.121,0,1.304
"PA14_54460",0.2202,6.2402,0.4737,-0.8206,1.4453,0.4621,5.1178,2.2103,2.3655,6.5852,1.6591,-1.7143,4.4819,0,2.7381
"PA14_54470",-6.3798,-48.155,1.0241,-15.4174,-3.4188,1.878,-31.0358,-19.9872,-21.4259,-1.6894,-22.8956,-8.8241,-13.1804,0,-26.9889
"PA14_54480",-0.6882,-0.5122,-1.7578,-0.9958,-0.9674,-0.5144,2.423,-4.746,3.6408,2.0886,2.763,-0.4766,-1.0882,0,2.0219
"PA14_54490",-1.8184,4.5968,-1.4205,2.0617,0.7167,-0.216,-4.4462,-1.8716,4.3283,0.6547,-0.6268,-2.4908,0.2133,0,-4.8965
"PA14_54500",1.8304,21.1679,5.6466,8.09,4.051,1.8763,15.6566,10.8217,3.8142,16.0286,7.481,3.649,4.4708,0,8.9036
"PA14_54510",-0.4495,-0.1045,-0.4779,-0.8356,0.6635,-0.2406,-0.2618,-1.4597,0.3097,-0.2762,-0.1284,-0.1723,-0.0234,0,0.1179
"PA14_54520",-5.6995,-5.7568,-5.3694,0.3792,-3.3881,0.4466,-3.5856,-5.3812,-1.5225,-1.0698,-0.3992,-2.4432,-0.9937,0,-4.6014
"PA14_54540",-24.7531,-24.7531,-16.2264,0.4424,2.1492,-1.6584,9.0126,-24.7531,6.7449,5.4806,-2.9325,0.7373,-3.7036,0,-0.0436
"PA14_54570",-1.0207,0.2182,-0.7624,0.3707,-1.3352,0.1478,-0.1473,-1.123,0.1075,0.7941,1.7375,-0.5751,0.8246,0,0.4984
"PA14_54590",-0.6892,-0.1731,0.1071,-0.0848,0.1567,-0.6399,0.1035,-0.424,-0.4142,-0.2122,-0.1793,-0.2185,0.0013,0,-0.3024
"PA14_54600",-0.5235,1.0173,2.0159,-1.0523,-0.1339,-0.4632,1.9901,0.3043,0.4301,1.9293,4.383,0.2562,1.9965,0,4.445
"PA14_54610",-1.7586,0.993,0.888,-0.6706,-0.1869,0.7432,1.4799,-0.0793,0.012,0.8692,0.9406,-0.4004,-0.1174,0,1.0361
"PA14_54620",-0.0814,1.0333,0.0075,0.4157,-0.093,0.6329,1.061,-0.5031,-0.2119,-0.1095,0.4825,0.543,0.5467,0,0.1514
"PA14_54630",-0.8559,0.802,1.075,2.6867,-0.9552,-0.8058,0.174,-0.6984,0.759,1.1432,-0.336,0.4695,-0.4948,0,0.5491
"PA14_54640",-0.6096,-0.5237,-0.3801,1.1578,-0.1992,-0.3223,-0.3369,-0.4467,0.6297,0.1324,-0.1368,0.4124,-0.1279,0,0.1761
"PA14_54660",0.2322,-0.0429,-0.5087,0.1896,-0.711,-1.58,-0.4114,-1.5273,-0.177,-0.2246,-0.6088,-0.6888,-0.5136,0,-0.5535
"PA14_54670",0.7202,0.4573,0.5616,1.6009,0.643,-0.6745,1.2733,-0.6745,0.2659,1.2049,0.5871,1.5784,0.6904,0,-0.6745
"PA14_54680",-0.4544,-2.9913,-0.6611,0.999,-1.7728,-1.7222,0.8084,-2.0461,0.4715,-1.4606,-0.9096,0.9083,-3.3712,0,-1.0483
"PA14_54690",-0.5826,0.2867,-0.3748,1.3568,0.2854,0.1624,-0.6257,-0.3821,1.5976,0.3234,0.0592,1.34,-0.8527,0,1.3828
"PA14_54700",0.9461,1.2433,1.973,-0.4586,0.0416,0.064,-2.0071,-0.0823,0.3254,-0.4805,-0.8044,0.624,-0.0912,0,1.348
"PA14_54710",-1.266,-1.1964,-0.1282,-2.0755,-1.2347,-0.1798,-1.4395,-0.0784,-0.11,-0.3193,-0.0554,-1.2389,-1.4611,0,0.4866
"PA14_54730",-2.9078,-4.7143,-3.1523,-0.7702,-3.391,-4.7143,-2.7112,-4.7143,-0.2391,-3.0686,-0.206,-2.2232,-3.3432,0,-3.2422
